title,description
Sales Leader,"Ít nhất 4 năm kinh nghiệm ở vị trí Sales phần mềm CNTT, giải pháp kế toán/thuế hoặc tương tự.Chỉ cần có tố chất, không bắt buộc có kinh nghiệm lead team.Tư duy logic, nhạy bén với thị trường, làm việc được dưới áp lực cao.Sẵn sàng thử thách, dẫn dắt được người khác."
"Frontend Leader (ReactJS, NextJS)","Professional qualifications:2+ years web development experience required (Senior Level);More than 1 year of experience managing a FrontendBasic understanding of client-side scripting and JavaScript frameworks including Reactjs – NextJs;Understanding of Linux, RESTful API preferred;Be experienced with Server, PM2, AWS;Experience with third-party libraries, GA, GTM, Firebase;Good understanding of asynchronous request handling, partial page updates, and AJAX;Basic understanding of server-side CSS pre-processing platforms, such as LESS and SASS;Majoring in Information Technology, Mathematics, Electronics and Telecommunications, Mechatronics and related fields;Skill qualifications:Experience in unit testing;Familiarity with RESTful APIs and TypeScript;Be experienced in handling state management & integration with backends and 3rd parties;Proficient understanding of mark-up languages, including HTML5, CSS3;Good understanding of SEO principles and ensuring that application will adhere to them;Be experienced in implementing web animation is a plus;Be experienced in implementing LMS, EdTech, Fintech, Video System is a plus;Show solid knowledge of performance optimization;Be passionate about discovering and applying new technologies to your workGood understanding of cross-browser compatibility issues and ways to work around them."
IOS Developer (Swift/ Objective C),"Tốt nghiệp Đại Học/Cao đẳng các chuyên ngành CNTT, Khoa học máy tính, Kỹ thuật phần mềm trở lên.Kinh nghiệm 01 năm trở lên ở vị trí tương đương.Sử dụng thành thạo, hiểu sâu về Swift/ Objective C. Biết thêm C/C++ là một lợi thế.Có tư duy logic tốt, hiểu biết về data structrure, algorithm, design pattern.Có kinh nghiệm kết nối giữa client-server sử dụng: webservice, Restfull, JSON, REST API.Có kinh nghiệm làm việc với push notification, maps, multimedia,...Biết tích hợp các dịch vụ của Google, Facebook,...Thành thạo về Material Design, custom layout là một lợi thế.Có thể đọc hiểu tiếng anh chuyên ngành.Có tinh thần học hỏi những ứng dụng mới.Biết sử dụng các phần mềm hỗ trợ lập trình: svn, git.Kỹ năng giao tiếp, làm việc theo nhóm.Nhiệt tình và trách nhiệm với công việc."
Senior Business Analyst ( Tiếng Nhật N2),"- Tốt nghiệp Đại học chính quy, chuyên ngành CNTT- Có base về IT- Tối thiểu 3 năm kinh nghiệm làm BA liên tiếp- Hiểu nghiệp vụ nhanh- Phân tích được requirement và break ra được tài liệu SRS, URS, RUD & basic design- Có kỹ năng làm tài liệu tốt- Có kinh nghiệm vẽ các mô hình trên figma- Có khả năng design, query DB là 1 lợi thế- Có JP từ N2: Tự tin trao đổi với KH- Có kinh nghiệm làm về mảng tài chính chứng khoán là một lợi thế- Linh hoạt chuyển đổi công việc từ BA sang Tester và ngược lai- Có tính ổn định lâu dài, chỉnh chu, tỉ mỉ với công việc- Hòa đồng với mọi người"
Automation Marketing,"Ưu tiên tốt nghiệp Cao đẳng trở lên chuyên ngành Marketing, Công nghệ phần mềm, Kinh doanh,hoặc các ngành liên quan.Thành thạo ít nhất một công cụ marketing automation (LadiFlow, HubSpot,...) và các công cụ hỗ trợ (Google Analytics, CRM). Có kiến thức về HTML, CSS để tùy chỉnh email và landing page. Khả năng tư duy logic, sáng tạo để giải quyết vấn đề.Kỹ năng giao tiếp tốt, làm việc độc lập và theo nhóm.Kỹ năng phân tích dữ liệu và sử dụng các công cụ phân tích để theo dõi và báo cáo hiệu suất.Tư duy chiến lược và khả năng điều chỉnh chiến lược marketing để đáp ứng mục tiêu kinh doanh."
IT Helpdesk,"Tốt nghiệp các trường, trung tâm đào tạo về chuyên ngành quản trị mạng, hệ thống.Nắm vững về hệ thống phần cứng máy vi tính, có kinh nghiệm xử lý các trục trặc về phần cứng máy tính (máy tính để bàn và máy tính xách tay).Cài đặt cấu hình và sử dụng thành thạo hệ thống phần mềm: hệ điều hành thông thường, hệ điều hành server, phần mềm tiện ích, ứng dụng văn phòng.Nắm vững các khái niệm về hệ thống mạng máy tính, có kinh nghiệm về việc lắp đặt, vận hành, giám sát và quản trị hoạt động của mạng LAN và các kết nối internetNắm vững về hệ điều hành Window và Linux.Có khả năng tự tìm tòi học hỏi, yêu thích và đam mê ứng dụng các công nghệ mới.Có tinh thần làm việc nhóm, có trách nhiệm trong công việcƯu tiên ứng viên có kinh nghiệm, chứng chỉ CCNA."
Software Tester (Manual/ Automation),"Ít nhất 3 năm kinh nghiệm với các công cụ kiểm thử manual hoặc automation.Đã làm việc với các sản phẩm web và ứng dụng.Có kinh nghiệm về Web, HTML, CSS, HTTP, Rest API, GraphQL.Khả năng viết test case tự động bằng Selenium (Java).Tập trung, tỉ mỉ và chú ý đến chi tiết.Kỹ năng phân tích và suy nghĩ logic mạnh mẽ.Kỹ năng giao tiếp tốt với thái độ tích cực."
Branding & Event Marketing Executive,"- Cử nhân các chuyên ngành kinh tế, marketing, báo chí hoặc các ngành liên quan - Có từ 2 năm kinh nghiệm làm phát triển thương hiệu và đối tác - Trình độ tiếng Anh tốt, đặc biệt là kỹ năng nói & viết (IELTS 6.5 hoặc TOEFL 90) - Ưu tiên có kinh nghiệm trong lĩnh vực CNTT, SaaS và / hoặc kinh nghiệm trong lĩnh vực bán lẻ, sản xuất - Tư duy logic, sáng tạo nội dung và việc tìm hiểu insight khách hàng. - Sử dụng tốt các phần mềm chỉnh sửa ảnh như Photoshop hoặc các phần mềm thiết kế khác là một lợi thế"
Senior PHP Developer,"- Nắm chắc kiến thức và có kinh nghiệm về PHP và VueJS Framework; HTML / CSS / JavaScript- Có từ 4 năm kinh nghiệm với PHP- Thành thạo với các framework PHP phổ biến: Laravel, CakePHP.- Có kinh nghiệm về Sass; JQuery; MySQL- Có kinh nghiệm về Flow Framework là một điểm cộng- Có kinh nghiệm về MVC, Webservice, RESTful API, sử dụng các mẫu thiết kế (Singleton, Prototype, Observer ...)- Có kinh nghiệm với hệ thống kiểm soát phiên bản- Kỹ năng debug xuất sắc- Có kinh nghiệm về OOP, SOLID và các phương pháp ưu việt để phát triển phần mềm- Thành thạo kiểm tra mã, tái cấu trúc mã, kiểm thử đơn vị- Có khả năng làm việc độc lập, có động lực tự quản cao, làm việc nhóm tốt"
Manual Tester - Ebanking Project,"Học vấn: Tốt nghiệp Đại học/cao đẳng ngành Công nghệ thông tin, Ngoại thương, Kinh tế, Ngân hàngNgoại ngữ: Tiếng anh: Đọc hiểu tài liệu chuyên ngànhTin học: Sử dụng thành thạo vi tính văn phòng và các công cụ phục vụ công việccó kinh nghiệm test APICó ít nhất 2 năm kinh nghiệm trong lĩnh vực phát triển phần mềm tại vị trí Kiểm thử phần mềm/dữ liệu.Có kinh nghiệm kiểm thử web/app hoặc kinh nghiệm kiểm thử database Sử dụng thành thạo: Postman, Jmeter, Oracal DatabaseNắm vững các quy trình phát triển phần mềm"
QA/Tester Tiếng Nhật,"Có kinh nghiệm làm việc vị trí QA/Tester trong vòng ít nhất 2 năm trở lênKinh nghiệm viết Testcase tạo data test 1 tháng trở lênNăng lực tiếng Nhật N3 trở lênCó khả năng đọc hiểu tài liệu yêu cầu, tài liệu thiết kế hệ thốngCó khả năng tạo tài liệu test, test scenarioCó khả năng sử dụng câu lệnh truy vấn SQL, có kinh nghiệm thao tác với các CSDLCó kinh nghiệm test web, desktop app, native app, api, batchCó hiểu biết về kiểm thử phần mềm như các giai đoạn kiểm thử (Unit test, Integration test, Functional test, System test, Acceptance test,...) và các kỹ thuật kiểm thửCó khả năng review tài liệu testcase của đội phát triển"
Senior Fullstack NodeJs/ReactJs (English)_Remote,"At least 5+ years of working as developers  Excellent software design and development skills. Strong proficiency with JavaScript, Node.js and frameworks available for it Solid experience Backend with Express.js, Nest.js Solid experience Frontend with React.js, Next.js, Storybook, React-Query Proficient understanding of code versioning tools, such as Git English fluently"
Back-End Developer,"2-4 years Java Web development experience, good communication and collaboration skills.• Solid Java foundation, deep understanding of object-oriented, familiar with common design patterns, clear understanding of JVM, multithreading, reflection, class loading, generics, etc., familiar with unit testing, WEB development, database and other basic technologies.• Proficient in mainstream JAVA frameworks such as Springboot/SpringCloud /Kafka.• Familiar with MySQL database, with some experience in database performance tuning.• Familiar with common algorithms, strong logical thinking ability, good problem analysis and solving ability.• Familiar with container technologies such as Docker"
Lập Trình Viên FrontEnd Construction IT,"Trên 3 năm kinh nghiệm lập trình Front-EndNắm vững các kiến thức HTML, CSS, JavascriptNắm vững OOP, SOLID principlesCó kinh nghiệm dự án lập trình ReacJS hoặc TypescriptCó kinh nghiệm sử dụng MUI, Taiwindcss, React Query, Redux toolkit...Ham học hỏi, nghiên cứu các công nghệ mới, và phần mềm.Yêu cầu khác:Có hiểu biết hoặc kinh nghiệm nghiệp vụ về Xây Dựng là một lợi thế.Có khả năng mô tả vấn đề một cách rõ ràng và ngắn gọn.Có khả năng làm việc nhóm, học hỏi và hỗ trợ các thành viên khác trong team.Có khả năng đọc hiểu sử dụng tiếng Anh hoặc tiếng Nhật từ N3 trở lên là lợi thế."
Nhân Viên JavaScript Fullstack Dev(Nodejs/Angular),"• FontEnd: Angular, bootstrap5, scss (Nếu b chuyên ReactJS hay VueJS thì công ty có thể hỗ trợ đào tạo)• BackEnd: Kinh nghiệm Nodejs 1 năm trở lên• Có kinh nghiệm với Docker, redis, mongodb, socket.io, expressjs, Restfull, microsevice..."
BrSE - Kỹ Sư Cầu Nối Tiếng Nhật,"● Tiếng Nhật N2 trở lên● Có kinh nghiệm với một trong các ngôn ngữ lập trình PHP/Java/Python/NodeJS/Golang..... hoặc có base Tester/QA là lợi thế● Có kinh nghiệm quản lý dự án, trao đổi giao tiếp với khách hàng Nhật"
Nhân Viên Game Designer,"Có kinh nghiệm ở vị trí tương đương từ 2 năm Tỉ mỉ,  tư duy logic Có tư duy trải nghiệm game và UI/UXYêu thích và đam mê với các dòng Game MobileCó khả năng làm việc độc lập và làm việc nhóm"
Game Designer,"Có kinh nghiệm ở vị trí tương đương từ 2 năm trở lên.Biết tiếng Nhật.Yêu thích chơi game, mong muốn tạo ra những sản phẩm game hay.Có kinh nghiệm, hiểu biết về xu hướng game mới nhất, đặc biệt về game balancing, level design sẽ là một lợi thế.Có kiến thức về Unreal Engine, Unity là một điểm cộng.Ưu tiên ứng viên có kinh nghiệm trong việc thiết kế nhân vật, kỹ năng, vũ khí, màn chơi (stage), hệ thống PvP, PvE."
Unity Developer,"Có kinh nghiệm lập trình game 04 năm trở lên.Có kinh nghiệm làm trên Unreal Engine (bắt buộc) và Unity Engine.Sử dụng thành thạo ngôn ngữ C#, C++Có kinh nghiệm làm việc với git, hiểu và sử dụng tốt git flow.Có kỹ năng quản lý, làm việc nhóm (lên schedule, training)."
Chuyên Viên Kiểm Thử Phần Mềm (Tester),"• Tốt nghiệp Đại học chuyên ngành CNTT• Trên 04 năm kinh nghiệm về tại vị trí Tester• Có khả năng lập kế hoạch kiểm thử và viết các trường hợp kiểm thử, tổng hợp kết quả kiểm thử• Kinh nghiệm làm việc nhiều với cơ sở dữ liệu lớn như Oracle, test data, API, SQL thành thạo, • Ưu tiên các bạn có kinh nghiệm làm việc với Bank• Khả năng nghiên cứu và sử dụng các công cụ hỗ trợ kiểm tra sản phẩm phần mềm (Manual test và Automation Test)• Hiểu biết về kiểm thử phần mềm như các giai đoạn kiểm thử (Unit Test, Integration Test, Functional Test, System Test...)• Có khả năng đọc hiểu tài liệu tiếng anh chuyên ngành CNTT"
Senior Python Odoo ( Từ 4 Năm Kinh Nghiệm ),"Có chứng chỉ Odoo của 1 trong các version Odoo 15-17- Có khả năng giao tiếp tiếng anh tốt- Từ 4 năm kinh nghiệm phát triển và triển khai các dự án thực tế trên Odoo.- Kiến thức lập trình cơ sở tốt, tư duy logic tốt.- Khả năng phân tích thiết kế tốt- Tiếp thu vấn đề nhanh, teamwork tốt và chủ động trong công việc- Có kiến thức và kinh nghiệm triển khai hệ thống trên AWS là lợi thế- Có hiểu biết và các nghiệp vụ quản lý nhân sự, công, lương, kế toán... là lợi thế"
Network Security Engineer,"Có kinh nghiệm làm việc với các thiết bị bảo mật VD: FW/ IDS/ IPS, Anti DDOS Appliance, NAC, LB, WAF Appliance... (đặc biệt chuyên sâu về WAF và Anti DDOS) Hiểu cơ bản về 1 số kiểu tấn công Web attack cơ bản, Hiểu biết về các attack type DDOS, từ Layer 3, layer 4 đến Layer 7 Network defense: hiểu khái niệm và cách thức phân tích giám sát cảnh báo, mối đe dọa mức mạng: địa chỉ IP/MAC, NAT, Proxy, Web Gateway, các giao thức phổ biến SMTP, SMB, DHCP, ICMP, FTP, and SSH , DNS... Kiến thức cơ bản về các mô hình network cơ bản như OSI, TCP/IP - Kiến thức cơ bản về các giao thức định tuyến chuyển mạch trong Enterprise như OSPF; static; Vlan; STP... Hiểu biết cơ bản về các chủng loại thiết bị trong một hạ tầng mạng của Enterprise như: FW; LB; Switch; router; Proxy... Có kiến thức cơ bản về máy chủ (linux), web server Có kiến thức về các hệ thống ảo hóa: vmware esxi, vcenter hoặc tương đương Kiến thức về các công cụ công cụ phục vụ giám sát như Grafana, TICK, Prometheus hoặc tương đương..."
Middle Tester ( 3 Năm Kinh Nghiệm),"- Tốt nghiệp đại học chuyên ngành CNTT hoặc các ngành tương đương;- Có từ 2-3  năm kinh nghiệm về hệ thống máy chủ và các thiết bị lưu trữ như Storage, Backup;- Có kinh nghiệm test các dòng dự án ERP- Có kinh nghiệm xử lý sự cố hệ thống máy chủ, hệ thống lưu trữ;- Có kinh nghiệm và kiến thức về quản trị website, proxy ngược;- Có kinh nghiệm viết kịch bản;- Có kinh nghiệm cài đặt, cấu hình và triển khai các thiết bị CNTT của nhiều hãng công nghệ khác nhau trên thế giới như: Symantec, Bidefender, IBM, HP, Dell, AMP, Microsoft, AWS, VMware ...- Ưu tiên ứng viên có kỹ năng BA"
Middle Java Developer - Tiếng Anh Bắt Buộc,"- Tốt nghiệp đại học chính quy, học đúng chuyên ngành CNTT. - Kiến thức lập trình cơ bản tốt. - Kiến thức phân tích thiết kế hệ thống tốt. - Có khả năng nghiên cứu tốt, chịu được áp lực, sắn sàng chuyển đổi công nghệ để đáp ứng công việc. - Từ 3 năm kinh nghiệm làm việc với vị trí lập trình Java, am hiểu về Spring MVC. - Có kinh nghiệm làm việc với các hệ quản trị PostgreSql, oralce. - Nắm vững OOP, có hiểu biết design Pattern , client- server model, Architecture Pattern (MVP, MVVM,VIPER). - Hiểu biết về vòng đời phát triển phần mềm (water fall, agile). - Có kinh nghiệm sử dụng công cụ quản lý version Git. - Có tinh thần ham học hỏi và làm việc độc lập. - Có kinh nghiệm làm các dự án migrate (là lợi thế). - YÊU CẦU TIẾNG ANH GIAO TIẾP ĐƯỢC VỚI KHÁCH HÀNG Ưu tiên: - Có khả năng viết tool để tăng performance và tăng độ chính xác."
Thực Tập Sinh Kinh Doanh Mảng Profile,"Giới tính: NữKhông yêu cầu kinh nghiệm.Chăm chỉ, cầu thị, chủ động trong nghiên cứu, năng động và sáng tạo trong công việc"
Sales Support Executive - English Speaking IT Firm,"Open to fresh graduates or final year students; no previous experience required.Excellent English communication skills with a passion for sales and customer interaction.Must be creative, enthusiastic about sales, and capable of maintaining long-term customer relationships.Professional demeanor and willingness to travel and engage actively in customer follow-up activities."
Thực Tập Sinh Marketing (Phòng Kinh Doanh),"Tốt nghiệp ngành Marketing/ Báo chí/ Truyền thông hoặc ngành liên quan (Ưu tiên sinh viên năm 3,4 và làm Fulltime).Tiếng Anh hoặc Tiếng Đức từ B1 trở lên (Có thể sử dụng các công cụ hỗ trợ như Google Translate[TT1] , ChatGPT, Copilot,...).CV đính kèm Fortfolio hoặc các sản phẩm đã làm.Có kinh nghiệm sử dụng Linkedin và các Social Media.Sử dụng thành thạo Canva.Biết sử dụng Adobe Inlustrator là một điểm cộng.Biết quay dựng video cơ bản là một điểm cộng.Đã từng làm việc với khách hàng thị trường Châu Âu là điểm cộng.Có tư duy sáng tạo, bắt trend tốt."
Data Analyst,"- Tốt nghiệp đại học, cao đẳng về chuyên ngành kinh doanh, công nghệ thông tin, toán học hoặc các chuyên ngành liên quan khác.- Nam/nữ, độ tuổi từ 1987 - 1998- Nhạy bén với số liệu kinh doanh, vận hành cho mảng data- Có tối thiểu 3 năm ở vị trí tương đương. Ưu Tiên các bạn làm các môi trường Startup trong các lĩnh vực: Y tế, giáo dục, FMCG,...- Có khả năng sử dụng các công cụ, phần mềm phân tích dữ liệu- Có khả năng code cơ bản với các ngôn ngữ query như SQL, Bigquery hoặc Python để xử lý mô hình dự báo.- Có kỹ năng phân tích sắc bén, khả năng thu thập, tổ chức, phân tích và phổ biến lượng lớn thông tin một cách chi tiết và chính xác- Kỹ năng lập kế hoạch, kiểm soát việc thực hiện kế hoạch.- Cẩn thận, kiên nhẫn, chịu khó, ham học hỏi, có tinh thần trách nhiệm- Có thể thường xuyên về Cơ sở y tế ở Vĩnh Yên - Vĩnh Phúc làm viejc (Xe đưa đón di về trong ngày)"
Software Tester (Manual/ Automation) Chế Độ Hấp Dẫn,"Ít nhất 3 năm kinh nghiệm với các công cụ kiểm thử manual hoặc automation.Đã làm việc với các sản phẩm web và ứng dụng.Có kinh nghiệm về Web, HTML, CSS, HTTP, Rest API, GraphQL.Khả năng viết test case tự động bằng Selenium (Java).Tập trung, tỉ mỉ và chú ý đến chi tiết.Kỹ năng phân tích và suy nghĩ logic mạnh mẽ.Kỹ năng giao tiếp tốt với thái độ tích cực."
Nhân Viên Kỹ Thuật,"Nam từ 20 – 30 tuổi.Thời gian thử việc: 1 - 2 tháng (tùy theo năng lực)Yêu cầu trình độ: Tốt nghiệp Trung Cấp trở lên, chuyên ngành CNTT, Khoa học máy tính, Kỹ thuật hoặc các ngành liên quan.Biết dò mạch, hàn mạch các thiết bị máy tính.Yêu thích công việc kỹ thuật, bảo hành.Có đam mê trong lĩnh vực máy tính, Gaming Gear , IT là một lợi thế.Nhanh nhẹn, nhiệt tình và trung thực. Gắn bó lâu dài với công việc."
Product Owner - Ứng Dụng Vận Hành Doanh Nghiệp,"Bắt buộc:- Tốt nghiệp ĐH trở lên- Có 4 năm kinh nghiệm trở lên làm việc ở mảng Product (Business Analyst hoặc Product Owner) hoặc có trải nghiệm sâu sắc về sản phẩm, khách hàng, thị trường.- Từng làm việc tại các công ty Product.- Có kĩ năng tốt về quản lý công việc (project management) và tư duy phân tích, giải quyết vấn đề dựa trên dữ liệu.- Có tư duy hệ thống và khả năng phân tích tốt để phân tích đa dạng được thị trường và các ứng dụng hiện có bên ngoài, phân tích được nhu cầu của người dùng và doanh nghiệp từ đó đưa ra được các mô hình, quy chuẩn, tính năng sản phẩm cũng như ứng dụng vào quản trị doanh nghiệp, quản lý công việc.- Có khả năng làm việc tốt với con người, cả ở khía cạnh trao đổi, tương tác để nắm bắt, phân tích vấn đề cũng như thúc đẩy công việc triển khai được với các đối tượng con người khác nhau.- Có laptop cá nhân (bắt buộc).Ưu tiên:- Có kinh nghiệm về tư duy các mô hình, phương pháp quản lý công việc, như Agile Scrum/ PMP/ OKR...- Có niềm yêu thích tự nhiên và tự thân về tư duy triết lý & các phương pháp quản lý công việc - vận hành doanh nghiệp và việc ứng dụng phần mềm - công nghệ vào quản lý vận hành công việc hàng ngày.- Yêu thích những thử thách lớn cùng với sự lãng mạn, nhiệt huyết đủ để có thể xây dựng tầm nhìn cho những sản phẩm lớn từ giai đoạn đầu và sẵn sàng cắm mặt xắn tay vào làm việc quyết liệt để hiện thực hoá nó."
Chuyên Viên IT,"Nắm được kiến thức chuyên môn và được đào tạo đúng chuyên ngành qua các trường ĐH, các tổ chức về CNTTCó kinh nghiệm ít nhất 1-2 năm ở vị trí tương đương và đã từng tham gia nhiều dự án CNTT để tích lũy kinh nghiệm thực tế Giao tiếp, xử lý tình huống, giải quyết vấn đề tốt. Làm việc nhóm và độc lập tốt. Phân tích, tổng hợp, báo cáo. Tự trao dồi, cập nhập kiến thức chuyên môn."
Digital Marketing Specialist,"Job Requirements:Bachelor's degree in marketing, communications, or a related field.Minimum 3+ years of experience in digital marketing and social media management.Strong project management skills are essential.Proven track record in developing and executing successful digital marketing campaigns and social media strategies.Strong understanding of digital marketing and content marketing best practices.Proficient in using social media management tools and analytics platforms (e.g., Google Analytics, Facebook Insights).Excellent written and verbal communication skills, with the ability to create engaging content for diverse audiences when needed.Creative thinker and problem solver, able to adapt and pivot strategies based on data analysis and industry trends.Strong organizational skills, managing multiple projects and deadlines in a fast-paced environment.Strong in data analytics and report visualization.Experience with paid social media advertising and campaign management is a plus.Personality/ Attitude:Trend follower and quick adaptation. Patient, dedicated, and passionate about content creation.Supportive and responsible, work independently.Solution-oriented mindset."
Intern Game Designer (Nghỉ T7 & CN),"Thích chơi game, đặc biệt là mobile game;Có sự cẩn thận, tỉ mỉ và chăm chỉ trong công việc. Sẵn sàng học hỏi những điều mới phục vụ cho công việc;Có khả năng phân tích và đánh giá game sau khi trải nghiệm;Biết sử dụng các phần mềm sketch, lên ý tưởng và diagram;Có tư duy logic và làm việc chuyên nghiệp;Có hiểu biết về vị trí và công việc của Game Designer."
Angular Developer,"● Tốt nghiệp từ Đại học trở lên, ưu tiên tốt nghiệp các chuyên ngành về công nghệ thông tin● Có kinh nghiệm với lập trình Front-end Angular từ 2 năm trở lên (level Junior+ - Senior)● Có kĩ năng lập trình tốt Javascript, Typescript, thành thạo sử dụng các Javascript framework Angular, ReactJS/NextJS● Am hiểu HTML/CSS, biết sử dụng các CSS framework (Bootstrap,..) và tối ưu hoá CSS, HTML, JS theo chuẩn để cải tiến tốc độ.● Có kinh nghiệm làm việc với công cụ Git, Restful API, figm"
Nhân Viên Tester,"Có ít nhất 3 năm kinh nghiệm test thực tế trong các dự án lớn nhỏ;;Có khả năng test web và mobile app;;Có chứng chỉ ISTQB;Có kỹ năng: Test chức năng, test API, test CSDL, test hiệu năng;Đã làm việc trực tiếp với khách hàng là một lợi thế;Nắm vững các mô hình quy trình phát triển phần mềm linh hoạt;Chăm chỉ, nhanh nhẹn, chủ động trong công việc."
Data Analytics Engineer,"Chuyên ngành CNTT, Khoa học dữ liệu, Phân tích kinh doanh hoặc có kiến thức tương đương, ưu tiên ứng viên đã tốt nghiệp.Thành tạo SQL, có khả năng truy vấn và tối ưu truy vấn Business Logic phức tạp.Hiểu biết và có khả năng sử dụng DBT (Materialize Concept, Macros, Testing,...)Am hiểu về Data Modeling, Data Management, Big Data, Data Warehouse, BI, Analytics, Data Mining...Đam mê với công việc liên quan đến xây dựng, tích hợp và khai thác dữ liệu.Tự tin và có khả năng thích nghi với các dự án mới.Kỹ năng phân tích tình huống và giải quyết vấn đề. - Khả năng tự học và làm việc độc lậpKỹ năng giao tiếp và làm việc nhóm hiệu quả."
Fresher Data Engineer,"Tốt nghiệp đại học chuyên ngành CNTT, Toán tin hoặc hiểu biết tương đương. Ưu tiên ứng viên chuyển từ Back End Developer theo hướng Data Engineer.Có kinh nghiệm hoặc hiểu biết lập trình website (HTML, CSS, JS) và app (Flutter, React Native).Có kiến thức vững chắc về lập trình, cấu trúc dữ liệu, và thuật toán.Hiểu biết về Big Data, Data Warehouse, Hadoop Ecosystem/tools.Kỹ năng lập trình chuyên sâu một trong các ngôn ngữ Python, Java, Scala.Đam mê với công việc liên quan đến xây dựng, tích hợp và khai thác dữ liệu.Tự tin và có khả năng thích nghi với các dự án mới.Kỹ năng phân tích tình huống và giải quyết vấn đề."
Nhân Viên Chỉnh Sửa Hình Ảnh,"Tuổi 35  tuổi trở xuốngTrình độ tốt nghiệp Trung Cấp hoặc Cao Đẳng trở lên, thao tác vi tính nhanh nhẹnChăm chỉ, chịu được áp lực công việc, có khả năng quản lý thời gianƯu tiên những ứng viên có kinh nghiệm trong việc sử dụng phần mềm Indesign, photoshop, Adobe illustratorƯu tiên biết tiếng NhậtNghiêm túc, có ý thức tuân thủ các quy định của công ty"
Viettel Digital - Senior Java Developer,"Tốt nghiệp đại học loại Khá trở lên, chuyên ngành Công nghệ thông tin, Kỹ sư phần mềm. Đặc biệt ưu tiên các trường Học viện Công nghệ Bưu chính Viễn thông, Đại học Bách khoa Hà Nội, ...Tiếng Anh tương đương 650+ TOEICÍt nhất 05 năm kinh nghiệm phát triển các sản phẩm/dự án xây dựng bằng ngôn ngữ JavaThành thạo Java Core, các framework Java như EE, Spring, Struts, Hibernate ... và một số design pattern thông dụngTư duy về thiết kế hướng đối tượng và nắm vững kiến thức về cấu trúc dữ liệu và giải thuật, lập trình hướng đối tượng ...Thành thạo SQL, PLSQL, có kiến thức về các hệ quản trị cơ sở dữ liệu Oracle/MySQL, noSQL, có khả năng tối ưu CSDLƯu tiên có hiểu biết về nghiệp vụ tài chính, có kinh nghiệm về microservices, ham học hỏi tìm tòi sáng tạo cái mới"
Java Developer (Junior/ Middle)- Viettel Digital,"Tốt nghiệp đại học loại Khá trở lên, chuyên ngành Công nghệ thông tin, Kỹ sư phần mềm. Đặc biệt ưu tiên các trường Học viện Công nghệ Bưu chính Viễn thông, Đại học Bách khoa Hà Nội, ...Tiếng Anh tương đương 550+ TOEICÍt nhất 02 năm kinh nghiệm phát triển các sản phẩm/dự án xây dựng bằng ngôn ngữ Java Thành thạo Java Core, các framework Java như EE, Spring, Struts, Hibernate ... và một số design pattern thông dụngTư duy về thiết kế hướng đối tượng và nắm vững kiến thức về cấu trúc dữ liệu và giải thuật, lập trình hướng đối tượng ...Thành thạo SQL, PLSQL, có kiến thức về các hệ quản trị cơ sở dữ liệu Oracle/MySQL, noSQL, có khả năng tối ưu CSDLƯu tiên có hiểu biết về nghiệp vụ tài chính, có kinh nghiệm về microservices, ham học hỏi tìm tòi sáng tạo cái mới"
Project Manager- Viettel Digital,"Tốt nghiệp Đại học loại Khá trở lên, ưu tiên chuyên ngành CNTT, Kỹ thuật phần mềm, An toàn thông tin và ngành có liên quanTiếng Anh tương đương 650+ TOEICCó kinh nghiệm ít nhất 03 năm ở vị trí quản lý dự án công nghệ thông tin hoặc các dự án tương tự (PM). Ưu tiên các ứng viên có chứng chỉ PMPCó kinh nghiệm quản trị các dự án theo nhiều mô hình khác nhau như Agile, WaterfallThành thạo các công cụ quản trị dự án và kiểm soát rủi roCó trách nhiệm cao và thái độ tốt trong công việcCó khả năng làm việc độc lập hoặc làm việc theo nhóm tốtKỹ năng giao tiếp và trình bày tốtLàm việc dưới áp lực cao, nhạy bén và tiếp thu nhanh.Ưu tiên ứng viên có thể đi làm ngay hoặc có thể xem xét nhận việc sau tếtTư duy logic và giao tiếp tốt, sáng tạo trong công việc"
Chuyên Viên Cao Cấp Pentester,"Bằng cấp: Tốt nghiệp đại học chuyên ngành Công nghệ thông tin, điện tử viễn thông, an toàn thông tinChứng chỉ: Có chứng chỉ về bảo mật OSCP hoặc chứng chỉ tương đươngCó tối thiểu 03 năm kinh nghiệm trong lĩnh vực liên quan bảo mậtCó kinh nghiệm chuyên sâu trong lĩnh vực kiểm thử bảo mật ứng dụng và hệ thốngCó hiểu biết tốt về hạ tầng mạng, hệ điều hành, cơ sở dữ liệu CNTT...Khả năng làm việc độc lập và làm việc nhóm tốtTư duy phản biệnCó tinh thần trách nhiệmThái độ hành nghề minh bạch, trung thực và tuân thủ pháp luậtCó chứng chỉ về bảo mật OSCP hoặc chứng chỉ tương đươngCó kinh nghiệm trong việc điều tra, truy vết các xâm nhập vào hệ thốngTham gia các chương trình CTF, Bug bounty"
