title,description
Blockchain Technical Lead (Solidity/Nodejs),"Your Skills And Experience:Must have:At least 5 years of experience in backend development. The candidate should have worked with one or more server-side programming languages, like Javascript/Node.js, Rust, Golang, etc.At least 2 years of experience in this specific aspect of blockchain technology is desired: The candidate specifically needs to demonstrate a robust understanding and practical experience with the Ethereum Virtual Machine (EVM) ecosystem. This also includes knowledge in implementing security measures within the EVM environment.Strong experience with SQL and NoSQL databases.Experience in system architecture: as the position not only requires programming skills but also the ability to design and manage the entire system and architecture of the project.Strong problem-solving skills and the ability to tackle complex technical issues.Experience with project management and leading a team.Familiarity with working in an Agile environment and experience working with Scrum or other flexible development methods.Nice to have:Having knowledge of one architecture model: microservices, event-driven.Experienced in developing distributed systems on top of microservices architecture, event-driven architecture using NodeJs, Kafka, RabbitMQ, etc. is highly welcome.Experience in cloud-based application development (AWS, GCP, Azure )."
Nhân Viên Digital Marketing,"Ứng viên biết thiết kế là một lợi thếKỹ năng tối ưu hóa công cụ tìm kiếm: Kỹ năng content, SEO, ...Am hiểu về SEO, Content, Google AdWords, ...Sáng tạo, linh hoạt, kỹ năng giao tiếp tốt.Kỹ năng làm việc độc lập, làm việc nhóm tốt.Có tư duy chiến lược, tư duy phân tích.Kinh nghiệm: Ít nhất 02 năm ở vị trí tương đương. Ưu tiên ứng viên có kinh nghiệm trong lĩnh vực F&B."
DevOps Engineer,"Senior: - 4+ years of experience in a DevOps engineering role- Proven track record of designing and managing complex AWS architectures. Strong understanding of core AWS services (EC2, S3, VPC, RDS, EKS/ECS, IAM, etc.).- Expertise in setting up and managing CI/CD tools like Jenkins, CodePipeline, GitLab CI/CD, or similar.- Proficiency in at least one of the following: Golang, Java, Python.- Deep knowledge of Kubernetes concepts and hands-on experience.- Experience in working with high-scale, high-traffic systems.- Experience working in Agile environments and collaborating closely with development teams.- Domain knowledge in retail, eCommerce, or fintech is an advantagePrincipal:- 7+ years of experience in a DevOps engineering role, with at least 2 years in a leadership capacity.- Ability to design and implement cloud infrastructure that meets current needs and strategically adapts to future growth.- Proven track record of designing and managing complex AWS architectures. Strong understanding of core AWS services (EC2, S3, VPC, RDS, EKS/ECS, IAM, etc.).- Expertise in setting up and managing CI/CD tools like Jenkins, CodePipeline, GitLab CI/CD, or similar.- Proficiency in at least one of the following: Golang, Java, Python.- Deep knowledge of Kubernetes concepts and hands-on experience.- Experience in working with high-scale, high-traffic systems.- Experience working in Agile environments and collaborating closely with development teams.- Domain knowledge in retail, eCommerce, or fintech is an advantage.- Contributions to open-source initiatives, speaking engagements, or published content is highly desired."
Nhân Viên Content SEO Website / Fanpage,"-         Nữ, từ 22 - 30 Tuổi-        Tốt nghiệp cao đẳng, đại học-        Yêu tiên ứng viên có kinh nghiệm, có kiến thức cơ bản về SEO onpage - offpage, biết chỉnh sửa ảnh, video-        Có khả năng nghiên cứu chủ đề, từ khoá, sử dụng các công cụ phân tích, sử dụng photoshop là một lợi thế.-        Chăm chỉ, cần cù, chịu khó, ham học hỏi, có khả năng chịu áp lực công việc cao."
IT Support,"- Ưu tiên các bạn sinh viên đang học tại các trường đại học, cao đẳng khu vực TP Thủ Đức (Q2, Q9, Q.Thủ Đức, Làng ĐH). - Có tư duy logic tốt - Có kiến thức về Windows Desktop, MS Office, Outlook hoặc kinh nghiệm hỗ trợ IT. - Có khả năng đọc hiểu các tài liệu tiếng Anh - Kỹ năng giao tiếp, giải quyết vấn đề, phân tích và đánh giá tốt - Thời gian làm việc: 5 ca/tuần (17h00 – 21h00)"
Chuyên Viên Google Ads,"Tốt nghiệp chuyên ngành Công nghệ thông tin, Thương mại điện tử, Mạng máy tính, Hệ thống thông tin, Marketing,...Có kinh nghiệm là một lợi thếCẩn thận và có trách nhiệm với công việcCó tinh thần hỗ trợ đồng độiChấp nhận sinh viên mới ra trường."
Chuyên Viên Backend Developer BE (Java),"Tốt nghiệp chuyên ngành CNTT hoặc tương đương hoặc tự học và đã tham gia phát triển phần mềmÍt nhất 01 năm kinh nghiệm phát triển dự án Ứng dụng Java đối với junior.Nắm chắc về Java Core, Spring framework;Hiểu biết Socket, Web Service, RESTful API, Microservices;Thành thạo CSDL quan hệ và có hiểu biết NoSQL; Kỹ năng giao tiếp và làm việc nhóm tốt."
Mobile Developer (Fresher Flutter),"Độ tuổi: 22-25 tuổiCó ít nhất 1 năm kinh nghiệm về lập trình Mobile.Tốt nghiệp ngành CNTT, điện tử viễn thông, hoặc các chuyên ngành tươngVề kiến thức:Kinh nghiệm đã chứng minh trong phát triển di động với Flutter, bao gồm kinh nghiệm phát hành ứng dụng Flutter lên Apple App Store và Google Play Store.Hiểu rõ ngôn ngữ lập trình Dart và khung ứng dụng phản ứng của Flutter.Quen thuộc với các kênh nền tảng để tích hợp mã gốc (Android/IOS) khi cần thiếtKinh nghiệm làm việc với API RESTful và tích hợp bên thứ ba (Có kinh nghiệm với các API bản đồ, định vị địa lý, dữ liệu thời tiết là 1 ưu tiên)Kiến thức về FirebaseCó hiểu biết về CI/CD.Kỹ năng/Khả năng:Có kỹ năng làm việc nhóm.Có khả năng đóng góp, xây dựng cải thiện UI/UX.Khả năng phân tích, tư duy logic, sáng tạoKhả năng quản lý thời gian hiệu quảKhả năng quản lý cảm xúcCó khả năng tìm hiểu các công nghệ mớiKỹ năng giao tiếp xuất sắc và khả năng làm việc trong môi trường hợp tác, nhjp độ nhanhThái độ:Thái độ trung thực, khiêm tốn, trách nhiệm trong công việc.Tư duy tích cựcTư duy sáng tạo, đổi mới, luôn tìm tòi các ý tưởng mới, cách làm mới trong vấn đề cũQuyết liệt, thiện chiến, bám đuổi mục tiêuYêu cầu khác: Sẵn sàng học hỏi công nghệ mới trong phát triển ứng dụng mobile"
Golang Developer,"You haveFrom 3 years or more of experience in backend developer (golang)Understand the entire backend development process (design, development and implementation)Understanding accessibility and security complianceExperience with user authentication and authorization between multiple systems, servers, and environmentsBasic understanding of database systems: PostgreSQL, RedisHands on creating database schemas that represent and support business processesImplementing automated testing platforms and unit testsProficient knowledge of a backend programming language (GoLang)Basic English communication skills. Good English reading skill.Plus pointsExperienced with Agile software developmentExperienced with Docker, AWS Lambda, AWS EventBridgeExperienced with building e-commerce storesExperienced with integrating e-commerce platform APIs (Shopify, Haravan, Shopee, Lazada...)Being able to work fullstack (NodeJS, ReactJS, NextJS)"
Mobile Developer - React Native,"Ít nhất 3 năm kinh nghiệm lập trình React Native.Kinh nghiệm lập trình React Native: Cần ít nhất 3 năm kinh nghiệm lập trình với React Native.Hiểu biết về quản lý và tối ưu hóa hiệu suất cho ứng dụng React Native: Cần kỹ năng và kinh nghiệm trong việc tối ưu hóa hiệu suất của các ứng dụng React Native.Sử dụng thành thạo và hiểu sâu về React Hooks: Cần kinh nghiệm sử dụng và hiểu sâu về React Hooks.Sử dụng thành thạo Redux: Cần kinh nghiệm sử dụng Redux để quản lý trạng thái ứng dụng.Kinh nghiệm xử lý animation bằng Reanimated: Cần kinh nghiệm làm việc với thư viện Reanimated để tạo các animation trong ứng dụng React Native.Kiến thức vững về ngôn ngữ JavaScript/TypeScript: Cần hiểu biết sâu về ngôn ngữ lập trình JavaScript hoặc TypeScript.Kinh nghiệm tích hợp Native Module cho iOS và Android: Cần kinh nghiệm làm việc với Native Module trong React Native để tích hợp các tính năng gốc từ iOS và Android.Khả năng hiểu và viết mã cho các ứng dụng di động bằng các ngôn ngữ lập trình phù hợp như Java/Kotlin (Android), Swift/Objective-C (iOS): Cần kinh nghiệm lập trình với một hoặc nhiều ngôn ngữ này."
Web Developer,"Required skills/Experience:Must Have: Experience in developing with JavaScript, HTML/HTML5 and CSSExperience in web frontend development with one of web frontend framework like React JS/AngularExperience in backend development with one of web backend framework like NodeJS/Express or Spring BootExperienced with SqlServer, PostgreSQL, MongoDBExperience with RESTful services and API’sStrong knowledge in OOP, OOP design patterns, the S.O.L.I.D principles and other coding best practices.Strong problem-solving and analytical skills.Ability to write clean, readable codeBe able to read and write in English.Nice to have: Experience in unit test and test-driven development.Experience in Gitlab, CI/CD and other software development practices.Experience in web frontend development with ReactJS is a plusKnowledge of Mobile App with React Native is a big plus."
C/C++ Linux Developer,"Requirements:Good at C/C++ on Linux (pointer, multi-thread, multi process, sockets..)Good at VoIP core network ( PCSCF, ICSCF, SCSCF, TAS, MG, MGC,...)Able to learn and work independently and within a team expectedFamiliar with Linux environmentGood analytical and problem-solving capabilitiesIntermediate English skillsNice to have: Experience in Firmware development and experience in developing real-time OS (RTOS, embedded Linux, etc.)"
Backend Developer,"Job Requirement:Must have: Strong in Java frameworks such as Spring Core, Spring Boot or NodeJS/ExpressBasic Understanding of the concepts of MVC (Model-ViewController) Pattern, JDBC (Java Database Connectivity)Good DB skill (SQL, NoSQL)Experienced with SqlServer, PostgreSQL, MongoDBExperienced with Restful API (Open API/Swagger)Have solid understanding of OOP principlesFamiliar with Design PatternsHave experiences in programming socket, WebSocket, socket.ioHave experiences in payment programmingAbility to write clean, readable codeNice to have If you have more than five years of experiences in Java/Javascript and managing team size of 5 – 10 members, you would have the opportunity to become a Sup Leader.Have experiences in client-side frameworks such as ReactJS, Angular, Flux/Redux,..Know Microservice, Message Queue, CQRS patternKnow Docker, AWS/OCP, CI/CD,...In-depth knowledge of code versioning tools, for instance, Git"
IOS Developer,"Requirements:Good at Object Oriented ProgrammingGood at iOS, Swift, Objective C, XCodeKnowledge of programming skills in C/C++JSON, XMLSQLite, Core DataGood teamworkWould be a plus:Know how to work with WebrtcKnow/work with Firebase/Push Notification"
DevOps Enginner,"Bằng cử nhân Kỹ thuật Máy tính, Công nghệ Thông tin, hoặc lĩnh vực liên quan.Hiểu biết sâu về hệ điều hành dựa trên Linux/Unix.Kinh nghiệm với các ngôn ngữ scripting nâng cao như Bash và Python.Kinh nghiệm với các công cụ quản lí cấu hình như Ansible, PuppetKinh nghiệm thực tiễn với container và điều phối sử dụng Docker và Kubernetes.Kinh nghiệm với các công cụ tích hợp và triển khai liên tục như Jenkins, GitLab CI/CD, CircleCI, và Argo CD (ít nhất một công cụ).Kiến thức về các công cụ giám sát và ghi nhật ký như Nagios, Prometheus, Grafana, và ELK stack.Kiến thức về bảo mật và công cụ bảo mậtKỹ năng giao tiếp, làm việc nhóm, và giải quyết vấn đề tốt."
Internal Communication Executive,"You have...University/Bachelor’s degree, prefer major in Marketing, Human Resources, CommunicationAt least 2+ years of experience in internal communication rolesGood English Communication skill and writing skill Excellent writing, editing and proofreading skillsExcellent communication, event organizing, time managementStrong presentation and voiceover skillsCreative, result-oriented, user-focusedFast-learner, hardworking, open for challengesTalented in MC, singing, dancing, handmade,..."
UI UX Designer,"Requirements:Mush have:Bachelor’s degree in Graphic Design, Interaction design (UX/UI) or related fieldAt least 1year of experience in UX/UI design, preferably in a software outsourcing environment.Experience in web app designProficiency in design tools such as Sketch, Figma, Adobe XD, photoshop or similar.Strong understanding of design principle, usability principles, and design thinking methodologies.Nice to have:Proficiency in English speaking is a plus"
VueJS Developer - Từ 5 Năm Kinh Nghiệm,"Kinh nghiệm 5 năm trở lên với ReactJS, VueJSNắm vững kiến thức về Javascript (ES6).  Thành thạo HTML/CSSCó kinh nghiệm làm việc TypeScript là lợi thếCó kinh nghiệm sử dụng Webpack, GulpCó kinh nghiệm làm việc với Redux, Context API, Hooks, NuxtjsBiết cách thao tác và xử lý với APICó kinh nghiệm xử lý signalR, reatime, plotly, chart, svg...Thành thạo tối ưu hoá app performance FE"
Fullstack Developer,"Có 3 năm kinh nghiệm phát triển Web và App; Thành thạo các ngôn ngữ phát triển: ReactJS, VueJS, Python, NodeJS,  PHP laravel, React Native; Thành thạo trong sử dụng và thiết kế cơ sở dữ liệu với MySQL; Có khả năng deploy hệ thống lên docker và cloud server."
Frontend Developer,"Có từ 3 năm kinh nghiệm với vị trí tương đương;Có kinh nghiệm làm việc với ReactJS, VueJS, NextJS v.v...Sử dụng thành thạo ES5, ES6.Sử dụng thành thạo API reactJS, nắm được các API của bản mới cập nhật.Có nền tảng vững chắc về HTML,CSS, Javascript.Hiểu life cycle, cơ chế render cập nhật data trong ứng dụng reactJS và tối ưu hóa được performance của ứng dụng.Nắm vững về pattern redux (các thành phần giao tiếp, flow data...).Thành thạo Git.Có kinh nghiệm Unit testing trong ứng dụng react dùng Jest, enzyme, mocha, chai...là lợi thế.Có kiến thức về UI/UX là lợi thế.Có hiểu biết, kỹ năng thiết kế, vận hành hệ thống, server, bảo mật là một lợi thế.Đam mê với lập trình, không ngại học hỏi những kiến thức mới. Có khả năng làm việc nhóm lẫn làm việc độc lập, đảm bảo thực hiện các công việc được giao đúng thời hạn và chất lượng."
Scrum Master,"More than 2 years of experience as a SMExcellent written and verbal communication skills in EnglishStrong organizational, analytical and problem-solving, presentation skillsGood human relations skills, ability to collaborate effectively across departments and teamsHave IT knowledge and software development experienceKnowing the Scrum framework, rules, and practices is a plusScrum Master certifications such as PSM and CSM are a plus."
Technical Support L1,Graduated from College or University majoring in Information Technology.Intern in IT system administration for any company.Have basic networking knowledge.Proficient in using Windows and Linux systems.Basic understanding of Microsoft 365 services.Have Microsoft Certifications is an advantage.Able to work under high pressure.Capable of multi-tasking at the same time.Able to read and understand specialized English and respond via email.Reasoning the problem convincingly (logically).
Nhân Viên Editor Youtube (Được Đào Tạo),"Tốt nghiệp cao đẳng hoặc đại học.Ưu tiên các bạn đã có kinh nghiệm quản lý kênh, xây dựng nội dung trên Youtube. Không có kinh nghiệm sẽ được đào tạo từ đầu.Độ tuổi từ 2k2 – 1997 (chấp nhận các bạn sinh viên đang chờ bằng, có thể đi làm được full-time).Thao tác máy tính, kỹ năng nhanh, am hiểu mạng xã hội.Ý thức làm việc nghiêm túc, sẵn sàng tiếp thu và chia sẻ kiến thức. Cầu tiến cá nhân và đồng đội."
Thực Tập Kỹ Sư Lập Trình Embedded/IoT,"Có kinh nghiệm lập trình ngôn ngữ C/C++/C#, Python tối thiểu 06 tháng và khả năng học hỏi nhanhTốt nghiệp đại học các chuyên ngành Điện - Điện tử, Cơ – Điện tử, CNTT, Kỹ thuật máy tính với tư duy lập trình tốtCó kinh nghiệm lập trình với ít nhất một loại thuộc MCU, SoC hay SoM như: Rasp Pi, ESP32, Jetson Nano, Zynq, ...Có khả năng hàn, lắp mạch điện tửƯu tiên ứng viên biết tiếng NhậtLợi thế: Có hiểu biết về Embedded Linux, Android, ESP-IDF, ...Có khả năng sử dụng tiếng Anh trong công việcCó tinh thần làm việc nhóm, năng động, có khả năng làm việc dưới áp lực caoBiết sử dụng Altium trong thiết kế mạch điện tử"
Nhân Viên Kỹ Thuật Triển Khai Và Bảo Trì,"Nam, có sức khỏe tốt, tuổi từ 20-30.Tốt nghiệp Trung cấp hoặc Cao đẳng chuyên ngành Điện tử Viễn thông, Công nghệ Kỹ thuật Viễn thông, điện dân dụng hoặc điện công nghiệp.Điện công nghiệp, Điện tử Công nghiệp, Hệ thống điện, Công nghệ thông tin, Mạng máy tính.Ứng viên tốt nghiệp các chuyên ngành khác như: Điện lạnh, cơ khí, Hàn, Tiện, Kỹ thuật ô tô, Cơ điện tử, Công nghệ nhiệt luyện... sẽ được xem xét mời phỏng vấn. Nếu ứng viên đạt yêu cầu tuyển dụng sẽ được tham gia khóa đào tạo chuyên môn trước khi tiếp nhận công việc.Ưu tiên ứng viên có kinh nghiệm sửa chữa, lắp đặt hạ tầng viễn thông, Internet, điện lực, truyền hình cáp..."
Kỹ Thuật Viên Máy Tính Mạng Văn Phòng,"- Tốt nghiệp Đại học/Cao đẳng về chuyên ngành công nghệ thông tin, kỹ thuật máy tính hoặc lĩnh vực liên quan. - Sử dụng thành thạo máy tính và các thao tác cài đặt các ứng dụng, chương trình, phần mềm, phần cứng mạng máy tính. - Ưu tiên ứng viên có kinh nghiệm, nhanh nhẹn trong công việc."
Thực Tập Sinh Thiết Kế Website,Biết sử dụng tin học văn phòng cơ bảnLàm việc giờ hành chính Chịu khó học hỏi
